shipment_id,cluster_id,vehicle_id,order_ids,delivery_pin,status,created_at,delivered_at,pin_verified_by
SHP-AC94B75F,CL_0001,V2,"[""O001"", ""O002""]",7137,DELIVERED,2026-02-21T14:05:17,2026-02-21T14:05:17,driver
SHP-FBE499B9,CL_8610,V5,"[""O001"", ""O002"", ""O003""]",7292,IN_TRANSIT,2026-02-21T15:25:47,,
SHP-FDCACABB,CL_7086,V5,"[""O001"", ""O002"", ""O003""]",8384,IN_TRANSIT,2026-02-21T19:14:40,,
SHP-5038B91E,CL_2015,V5,"[""O001"", ""O002"", ""O003""]",8669,IN_TRANSIT,2026-02-22T01:14:18,,
SHP-B2052E2D,CL_5669,V5,"[""O001"", ""O003"", ""O005""]",6440,IN_TRANSIT,2026-02-22T01:30:50,,
SHP-06A5FA6A,CL_8088,V5,"[""O001"", ""O002"", ""O003""]",3638,IN_TRANSIT,2026-02-22T01:31:20,,
SHP-4B3EA794,CL_4427,V5,"[""O001"", ""O002"", ""O003""]",2763,IN_TRANSIT,2026-02-22T01:40:59,,
SHP-EC6D592C,CL_8534,V5,"[""O001"", ""O002"", ""O003""]",7572,IN_TRANSIT,2026-02-22T03:34:19,,
SHP-952C46F7,CL_8534,V5,"[""O001"", ""O002"", ""O003""]",1021,IN_TRANSIT,2026-02-22T03:56:19,,
SHP-68A71B3E,CL_6283,V5,"[""O001"", ""O002"", ""O003""]",3935,IN_TRANSIT,2026-02-22T07:40:52,,
