supplier_id,product_id,on_time_delivery_rate,average_delay_days,defect_rate,last_updated
S001,C001,0.93,1.2,0.02,2026-02-15
S002,C001,0.8,3.5,0.05,2026-02-15
S003,C001,0.97,0.5,0.01,2026-02-15
S004,C001,0.88,2.1,0.03,2026-02-15
S005,C001,0.91,1.8,0.02,2026-02-15
S001,C002,0.712,2.0,0.224,2026-02-21
S002,C002,0.85,2.8,0.04,2026-02-15
S003,C002,0.95,0.9,0.01,2026-02-15
S004,C002,0.78,4.2,0.06,2026-02-15
S005,C002,0.92,1.5,0.02,2026-02-15
S001,C003,0.461,1.69,0.498,2026-02-21
S002,C003,0.82,3.0,0.05,2026-02-15
S003,C003,0.96,0.6,0.01,2026-02-15
S004,C003,0.87,2.2,0.03,2026-02-15
S005,C003,0.944,1.12,0.016,2026-02-21
S001,C004,0.88,2.3,0.04,2026-02-15
S002,C004,0.79,4.0,0.06,2026-02-15
S003,C004,0.94,0.8,0.01,2026-02-15
S004,C004,0.85,2.6,0.03,2026-02-15
S005,C004,0.582,1.58,0.213,2026-02-21
S001,C005,0.87,2.5,0.04,2026-02-15
S002,C005,0.83,3.2,0.05,2026-02-15
S003,C005,0.95,0.7,0.01,2026-02-15
S004,C005,0.86,2.4,0.03,2026-02-15
S005,C005,0.92,1.3,0.02,2026-02-15
