production_id,stage_name,quantity,status,last_updated
prod1,MATERIAL_ISSUED,25,COMPLETED,2026-02-21T10:41:44.976618
prod1,FABRICATION,25,IN_PROGRESS,2026-02-21T10:41:44.976618
prod2,MATERIAL_ISSUED,25,IN_PROGRESS,2026-02-21T10:55:48.421554
pp2,MATERIAL_ISSUED,25,COMPLETED,2026-02-21T10:58:32.213405
pp2,FABRICATION,25,COMPLETED,2026-02-21T11:11:01.744396
pp2,ASSEMBLY,25,COMPLETED,2026-02-21T11:11:06.961825
pp2,PAINTING,25,COMPLETED,2026-02-21T11:11:14.680703
pp2,QUALITY_CHECK,25,COMPLETED,2026-02-21T11:11:24.737800
ppp2,MATERIAL_ISSUED,25,COMPLETED,2026-02-21T11:42:01.630346
ppp2,FABRICATION,25,COMPLETED,2026-02-21T11:42:39.767469
ppp2,ASSEMBLY,25,IN_PROGRESS,2026-02-21T11:42:39.767469
prod,MATERIAL_ISSUED,25,IN_PROGRESS,2026-02-21T15:02:36.196967
pppp1,MATERIAL_ISSUED,25,IN_PROGRESS,2026-02-21T15:05:57.155334
har1,MATERIAL_ISSUED,25,IN_PROGRESS,2026-02-21T15:07:32.909088
har2,MATERIAL_ISSUED,25,COMPLETED,2026-02-21T15:24:58.464861
har2,FABRICATION,25,IN_PROGRESS,2026-02-21T15:24:58.464861
